,id,width,npaths,length,fatness,centroid_x,centroid_y,centroid_y_pix,centroid_x_pix,img_x,img_y,N,label
0,0,11.661903789690601,1,51.79898987322332,3.880384549813467,26.614200204335464,6.616365716062544,113.54726368159204,110.06467661691542,26,6,92,0_26_6
0,0,12.649110640673518,1,61.497474683058286,9.83780233445373,14.0546875,4.964110463400236,51.231404958677686,189.0,13,4,93,0_13_4
1,1,8.0,1,53.698484809834994,3.9107248694946053,13.941007653061224,4.836229804421769,74.14761904761905,168.62857142857143,13,4,94,1_13_4
0,0,6.324555320336759,1,58.01219330881973,4.430103144556123,12.13681646053363,4.431641710672596,146.6498054474708,24.51750972762646,12,4,95,0_12_4
1,1,8.246211251235321,1,59.35533905932736,5.559735741213702,12.311164096320347,4.423515286796537,148.1060606060606,55.76060606060606,12,4,96,1_12_4
2,2,8.246211251235321,1,60.870057685088774,4.6656765378681575,12.61399647887324,4.166840889084507,194.10211267605635,110.02816901408451,12,4,97,2_12_4
0,0,18.867962264113206,5,14.356527420689975,36.011493925398916,29.516501450676984,20.991749274661508,46.27852998065764,92.55705996131528,29,20,98,0_29_20
1,1,10.0,3,4.75,22.736842105263158,29.401682374338623,21.022393766534393,40.78703703703704,71.98148148148148,29,20,99,1_29_20
0,0,8.0,1,66.38477631085021,4.488981006798897,13.686627366970278,14.988977858341324,46.7751677852349,123.04362416107382,13,14,100,0_13_14
1,1,4.47213595499958,1,71.28427124746187,3.2124898802013595,13.434634279475983,14.933796007485963,56.66375545851528,77.88646288209607,13,14,101,1_13_14
0,0,8.246211251235321,1,8.242640687119286,4.124891681027847,3.8455882352941178,39.45906643907563,141.73529411764707,151.52941176470588,3,39,102,0_3_39
0,0,14.0,3,56.400340747924865,11.258797226741285,17.473187921822273,39.724444600674914,94.17952755905512,84.79527559055119,17,39,103,0_17_39
0,0,6.0,3,2.414213562373095,7.870057685088806,30.060267857142858,19.137746710526315,199.31578947368422,190.0,29,19,104,0_29_19
0,0,10.0,1,35.485281374238575,4.3398275013200305,8.812268089053804,39.8063978432282,79.49350649350649,145.55844155844156,8,39,105,0_8_39
0,0,10.198039027185569,1,67.59797974644664,6.627416997969523,18.2496337890625,14.331209143813776,164.64732142857142,44.734375,18,14,106,0_18_14
0,0,5.656854249492381,1,11.656854249492381,2.6593795664340534,0.03690236175115207,4.207157258064516,7.67741935483871,6.612903225806452,0,3,107,0_0_3
1,1,2.8284271247461903,1,12.485281374238571,1.6819805153394638,0.10708971088435373,4.162840136054422,15.619047619047619,19.19047619047619,0,3,108,1_0_3
2,2,8.0,1,59.6274169979695,4.10884811609973,0.4361561588921282,4.020430940233236,41.138775510204084,78.15918367346939,0,3,109,2_0_3
3,3,6.0,1,61.35533905932736,3.015222519121193,0.5706744691119691,3.76113055019305,87.6054054054054,102.26486486486486,0,3,110,3_0_3
4,4,8.0,1,62.04163056034258,3.948961331080902,0.20052842565597667,3.706177113702624,97.4530612244898,35.93469387755102,0,3,111,4_0_3
0,0,7.211102550927978,1,46.76955262170046,5.6874608605210275,1.8210047999462944,3.9037870904940926,62.04135338345865,147.12406015037595,1,3,112,0_1_3
1,1,8.0,1,59.213203435596405,4.13759070249384,2.0507243075801753,3.802182033527697,80.24897959183673,188.28979591836736,1,3,113,1_1_3
0,0,7.211102550927978,1,3.82842712474619,10.97056274847714,13.209741709183673,13.626992984693878,111.64285714285714,216.78571428571428,12,13,114,0_12_13
0,0,6.0,1,12.414213562373096,2.899901779450156,19.894562251984127,17.172991071428573,193.0,160.30555555555554,19,17,115,0_19_17
